"Ternio
(TERN)";"0.059726
USD"
"Qwark
(QWARK)";"0.035408
USD"
"Smartlands
(SLT)";"1.98
USD"
"Noah Coin
(NOAH)";"0.002514
USD"
"Revain
(R)";"0.310743
USD"
D"
25
USD"

"Blocktix
(TIX)";"0.196363
USD"
"Pepe Cash
(PEPECASH)";"0.017184
USD"
"Restart Energy MWAT
(MWAT)";"0.020461
USD"
"DMarket
(DMT)";"0.147173
USD"
"
"Aventus
(AVT)";"0.796165
USD"
"Factom
(FCT)";"10.37
USD"
"Matryx
(MTX)";"0.194863
USD"
USD"
058
USD"
"Ethereum Classic
(ETC)";"16.26
USD"
"MyBit Token
(MYB)";"0.041169
USD"
"XRP
(XRP)";"0.436318
USD"
"eBoost
(EBST)";"0.096477
USD"
"EuropeCoin
(ERC)";"0.216293
USD"
"Constellation
(DAG)";"0.016813
USD"
"Haven Protocol
(XHV)";"0.698286
USD"
"BlitzPredict
(XBP)";"0.003117
USD"
"Hexx
(HXX)";"3.62
USD"
"BetterBetting
(BETR)";"0.044446
USD"
"Fusion
(FSN)";"1.95
USD"
"Viacoin
(VIA)";"1.00
USD"
"DAEX
(DAX)";"0.068188
USD"
"Sexcoin
(SXC)";"0.012926
USD"
"Polis
(POLIS)";"1.23
USD"
"Bitcoin Gold
(BTG)";"26.99
USD"
"MediShares
(MDS)";"0.051743
USD"
"XGOX
(XGOX)";"0.000492
USD"
"Snovio
(SNOV)";"0.009147
USD"
"United Traders Token
(UTT)";"0.395075
USD"
"Zero
(ZER)";"0.300692
USD"
"Lendingblock
(LND)";"0.005256
USD"
"MediBloc [QRC20]
(MED)";"0.004330
USD"
"Verge
(XVG)";"0.021700
USD"
"Tether
(USDT)";"1.00
USD"
"ReddCoin
(RDD)";"0.004209
USD"
"SwftCoin
(SWFTC)";"0.006016
USD"
"Enigma
(ENG)";"1.09
USD"
"Rentberry
(BERRY)";"0.018461
USD"
"NewYorkCoin
(NYC)";"0.000062
USD"
"Gatcoin
(GAT)";"0.003405
USD"
"Waves Community Token
(WCT)";"0.427262
USD"
"Primas
(PST)";"0.254959
USD"
"Particl
(PART)";"4.56
USD"
"Unikoin Gold
(UKG)";"0.078710
USD"
"LATOKEN
(LA)";"0.112081
USD"
"RChain
(RHOC)";"0.642238
USD"
"SingularDTV
(SNGLS)";"0.034123
USD"
"I0Coin
(I0C)";"0.063641
USD"
"Energycoin
(ENRG)";"0.032039
USD"
"Power Ledger
(POWR)";"0.281884
USD"
"BitTube
(TUBE)";"0.063518
USD"
"Gambit
(GAM)";"4.26
USD"
"
"Riecoin
(RIC)";"0.047338
USD"
"IP Exchange
(IPSX)";"0.002920
USD"
"BlockMason Credit Protocol
(BCPT)";"0.162514
USD"
"SpaceChain
(SPC)";"0.017923
USD"
"Adzcoin
(ADZ)";"0.017371
USD"
"carVertical
(CV)";"0.001383
USD"
"aXpire
(AXP)";"0.017979
USD"
"THEKEY
(TKY)";"0.009018
USD"
"FairCoin
(FAIR)";"0.373184
USD"
"Trade Token
(TIO)";"0.351702
USD"
"Peercoin
(PPC)";"1.48
USD"
"LockTrip
(LOC)";"0.782259
USD"
"Vertcoin
(VTC)";"0.868960
USD"
"Polymath
(POLY)";"0.316887
USD"
"Blue Protocol
(BLUE)";"0.073714
USD"
"Aeron
(ARN)";"0.574894
USD"
"IHT Real Estate Protocol
(IHT)";"0.058547
USD"
"ProChain
(PRA)";"0.192401
USD"
"Swarm City
(SWT)";"0.538983
USD"
"Decision Token
(HST)";"0.484359
USD"
"Namecoin
(NMC)";"1.35
USD"
"POA Network
(POA)";"0.158020
USD"
"Nullex
(NLX)";"0.025385
USD"
"Paragon
(PRG)";"0.099354
USD"
"Hurify
(HUR)";"0.033961
USD"
"ION
(ION)";"0.835478
USD"
"OneRoot Network
(RNT)";"0.070656
USD"
"TaaS
(TAAS)";"1.71
USD"
"COSS
(COSS)";"0.090563
USD"
"BiblePay
(BBP)";"0.001916
USD"
"CoinFi
(COFI)";"0.019167
USD"
"Stellar Holdings
(HOLD)";"0.001370
USD"
"AdShares
(ADST)";"0.131521
USD"
"indaHash
(IDH)";"0.013146
USD"
"Storm
(STORM)";"0.015904
USD"
"Huobi Token
(HT)";"3.18
USD"
"Syndicate
(SYNX)";"0.146516
USD"
"NEM
(XEM)";"0.158699
USD"
"FintruX Network
(FTX)";"0.034690
USD"
"Sphere
(SPHR)";"0.703234
USD"
"Bloom
(BLT)";"0.208056
USD"
"DNotes
(NOTE)";"0.050449
USD"
"MinexCoin
(MNX)";"6.36
USD"
"0xBitcoin
(0xBTC)";"0.860628
USD"
"Elite
(1337)";"0.000060
USD"
"EchoLink
(EKO)";"0.016323
USD"
"IoT Chain
(ITC)";"0.393441
USD"
"MediBloc [ERC20]
(MEDX)";"0.005501
USD"
"Civic
(CVC)";"0.167636
USD"
"Decred
(DCR)";"56.79
USD"
USD"

"Pareto Network
(PARETO)";"0.015115
USD"

"Dai
(DAI)";"0.991565
USD"
"ATBCoin
(ATB)";"0.073962
USD"
"DECENT
(DCT)";"0.256606
USD"
"LoyalCoin
(LYL)";"0.004428
USD"
"IOTA
(MIOTA)";"0.960584
USD"
"DAOstack
(GEN)";"0.147154
USD"
"Paymon
(PMNT)";"0.002941
USD"
"AurumCoin
(AU)";"27.68
USD"
"Electroneum
(ETN)";"0.010736
USD"
"Shivom
(OMX)";"0.013277
USD"
"QLINK
(QLC)";"0.051299
USD"
"LIFE
(LIFE)";"0.000125
USD"
"Bitcoin Cash
(BCH)";"694.30
USD"
"Augur
(REP)";"28.07
USD"
"Cobinhood
(COB)";"0.053411
USD"
"Kyber Network
(KNC)";"0.885935
USD"
"Nexty
(NTY)";"0.000438
USD"
"Parkgene
(GENE)";"0.004746
USD"
"Chronobank
(TIME)";"12.75
USD"
"Stratis
(STRAT)";"2.30
USD"
"Helbiz
(HBZ)";"0.007099
USD"
"Clipper Coin
(CCCX)";"0.005647
USD"
"LoMoCoin
(LMC)";"0.020570
USD"
"Rupaya
(RUPX)";"0.070358
USD"
"Ink
(INK)";"0.057987
USD"
"Zoin
(ZOI)";"0.127655
USD"
"Bancor
(BNT)";"2.04
USD"
"Tigereum
(TIG)";"0.050624
USD"
"BrahmaOS
(BRM)";"0.019307
USD"
"E-Dinar Coin
(EDR)";"0.009666
USD"
"DIMCOIN
(DIM)";"0.003719
USD"
"INS Ecosystem
(INS)";"0.546634
USD"
"BOScoin
(BOS)";"0.081840
USD"
"Change
(CAG)";"0.128704
USD"
"Telcoin
(TEL)";"0.000998
USD"
"Groestlcoin
(GRS)";"0.551986
USD"
"Flash
(FLASH)";"0.007916
USD"
"Sharechain
(SSS)";"0.001060
USD"
"ZenCash
(ZEN)";"20.16
USD"
"Smartshare
(SSP)";"0.002684
USD"
"Cindicator
(CND)";"0.029531
USD"
"Neurotoken
(NTK)";"0.116715
USD"
"Odyssey
(OCN)";"0.006064
USD"
"Lunyr
(LUN)";"6.72
USD"
"Golos
(GOLOS)";"0.036464
USD"
"Global Currency Reserve
(GCR)";"0.062706
USD"
"Bread
(BRD)";"0.385511
USD"
"Leverj
(LEV)";"0.040916
USD"
"LBRY Credits
(LBC)";"0.100568
USD"
"Counterparty
(XCP)";"6.80
USD"
"APIS
(APIS)";"0.004439
USD"
"B3Coin
(KB3)";"0.001993
USD"
"Experience Points
(XP)";"0.000058
USD"
"Ormeus Coin
(ORME)";"0.627745
USD"
"Linker Coin
(LNC)";"0.029296
USD"
"Insights Network
(INSTAR)";"0.019761
USD"
"BitDice
(CSNO)";"0.074799
USD"
"Fabric Token
(FT)";"0.041703
USD"
"LiteDoge
(LDOGE)";"0.000064
USD"
"Bibox Token
(BIX)";"0.676585
USD"
"Komodo
(KMD)";"1.48
USD"
"Gladius Token
(GLA)";"0.202808
USD"
"Carboncoin
(CARBON)";"0.000125
USD"
"SportyCo
(SPF)";"0.040309
USD"
"Internet of People
(IOP)";"0.689368
USD"
"CampusCoin
(CMPCO)";"0.003492
USD"
"Einsteinium
(EMC2)";"0.115858
USD"
"Measurable Data Token
(MDT)";"0.017997
USD"
"Hydro
(HYDRO)";"0.007661
USD"
"Binance Coin
(BNB)";"12.06
USD"
"Boolberry
(BBR)";"0.842038
USD"
"Profile Utility Token
(PUT)";"0.076730
USD"
"IXT
(IXT)";"0.406173
USD"
"Pylon Network
(PYLNT)";"3.00
USD"
"TokenPay
(TPAY)";"3.70
USD"
"DigitalPrice
(DP)";"0.044869
USD"
"Hacken
(HKN)";"1.13
USD"
"On.Live
(ONL)";"0.058593
USD"
"NPER
(NPER)";"0.073205
USD"
"HollyWoodCoin
(HWC)";"0.477423
USD"
"Metaverse ETP
(ETP)";"1.42
USD"
"BitShares
(BTS)";"0.158422
USD"
"Pura
(PURA)";"0.073727
USD"
"SaluS
(SLS)";"21.30
USD"
"AdHive
(ADH)";"0.048822
USD"
"ShareX
(SEXC)";"0.006514
USD"
"Clams
(CLAM)";"2.62
USD"
"Universa
(UTNP)";"0.011048
USD"
"Karbo
(KRB)";"0.290040
USD"
"Mysterium
(MYST)";"0.172454
USD"
"Hush
(HUSH)";"0.308322
USD"
"LUXCoin
(LUX)";"4.44
USD"
"Bluzelle
(BLZ)";"0.249826
USD"
"Musicoin
(MUSIC)";"0.006299
USD"
"BitClave
(CAT)";"0.007548
USD"
"TrueUSD
(TUSD)";"1.00
USD"
"Viberate
(VIB)";"0.071747
USD"
"FunFair
(FUN)";"0.023447
USD"
"Nano
(NANO)";"2.29
USD"
"FLIP
(FLP)";"0.046373
USD"
"Qbao
(QBT)";"0.183499
USD"
"Endor Protocol
(EDR)";"0.051315
USD"
"Status
(SNT)";"0.065216
USD"
"TRON
(TRX)";"0.032890
USD"
"Dero
(DERO)";"0.756784
USD"
"EOS
(EOS)";"6.92
USD"
"Kin
(KIN)";"0.000138
USD"
"Fortuna
(FOTA)";"0.028420
USD"
"EtherSportz
(ESZ)";"0.148203
USD"
"Zeepin
(ZPT)";"0.032798
USD"
"Refereum
(RFR)";"0.003316
USD"
"Trinity Network Credit
(TNC)";"0.025458
USD"
"Thrive Token
(THRT)";"0.029541
USD"
"Elastos
(ELA)";"15.92
USD"

"Nework
(NKC)";"0.050113
USD"
"Eroscoin
(ERO)";"0.025434
USD"
"GridCoin
(GRC)";"0.024356
USD"
"Maecenas
(ART)";"0.392694
USD"
"BridgeCoin
(BCO)";"1.06
USD"
"Aragon
(ANT)";"1.50
USD"
"Raiden Network Token
(RDN)";"0.730969
USD"
"CargoX
(CXO)";"0.034654
USD"
"SophiaTX
(SPHTX)";"0.162212
USD"
"UpToken
(UP)";"0.044335
USD"
"Quantstamp
(QSP)";"0.062996
USD"
"GoChain
(GO)";"0.067333
USD"
"Fluz Fluz
(FLUZ)";"0.027701
USD"
"Linda
(LINDA)";"0.001880
USD"
"FORCE
(FOR)";"0.011685
USD"
"CPChain
(CPC)";"0.061511
USD"
"Global Cryptocurrency
(GCC)";"0.002967
USD"
"Peerplays
(PPY)";"3.09
USD"
"SelfSell
(SSC)";"0.027273
USD"
"PlatinumBAR
(XPTX)";"0.866711
USD"
"KanadeCoin
(KNDC)";"0.000187
USD"
"MobileGo
(MGO)";"0.197426
USD"
"WaykiChain
(WICC)";"0.395211
USD"
"Memetic / PepeCoin
(MEME)";"0.083605
USD"
"Dether
(DTH)";"0.034932
USD"
"Origin Sport
(ORS)";"0.118526
USD"
"Hackspace Capital
(HAC)";"0.007429
USD"
"Leadcoin
(LDC)";"0.003616
USD"
"Bonpay
(BON)";"0.136796
USD"
"GXChain
(GXS)";"2.56
USD"
"Privatix
(PRIX)";"2.94
USD"
"Phantasma
(SOUL)";"0.116554
USD"
"Ace
(ACE)";"0.113973
USD"
"Ivy
(IVY)";"0.045508
USD"
"Novacoin
(NVC)";"2.57
USD"
"Tezos
(XTZ)";"1.96
USD"

USD"
"OST
(OST)";"0.060252
USD"
"DecentBet
(DBET)";"0.094456
USD""Cortex
(CTXC)";"0.530472
USD"


"SunContract
(SNC)";"0.068693
USD"
"Loom Network
(LOOM)";"0.186878
USD"
"DeepOnion
(ONION)";"0.627311
USD"
"Time New Bank
(TNB)";"0.019243
USD"
"Aeternity
(AE)";"1.68
USD"
"MAZA
(MAZA)";"0.000623
USD"
"Feathercoin
(FTC)";"0.078265
USD"
"Burst
(BURST)";"0.013598
USD"
"Elastic
(XEL)";"0.128071
USD"
"OAX
(OAX)";"0.310667
USD"
"BioCoin
(BIO)";"0.004152
USD"
"I/O Coin
(IOC)";"0.417690
USD"
"SIBCoin
(SIB)";"0.431112
USD"
"Digitex Futures
(DGTX)";"0.006761
USD"
"Sharder
(SS)";"0.015824
USD"
"Unobtanium
(UNO)";"144.08
USD"
"DeviantCoin
(DEV)";"1.31
USD"
"Proxeus
(XES)";"0.032717
USD"
"TenX
(PAY)";"0.755187
USD"
"Docademic
(MTC)";"0.195297
USD"
"Safe Exchange Coin
(SAFEX)";"0.024076
USD"
"PRIZM
(PZM)";"1.07
USD"
"Stox
(STX)";"0.341376
USD"
"Selfkey
(KEY)";"0.012469
USD"
"Numeraire
(NMR)";"7.02
USD"
"SRCOIN
(SRCOIN)";"0.001106
USD"
"BLOCKv
(VEE)";"0.017125
USD"
"ugChain
(UGC)";"0.029743
USD"
"HyperStake
(HYP)";"0.001124
USD"
"CloakCoin
(CLOAK)";"3.43
USD"
"GoByte
(GBX)";"1.66
USD"
"Verify
(CRED)";"0.070717
USD"
"CasinoCoin
(CSC)";"0.000377
USD"
"Credo
(CREDO)";"0.034406
USD"
"VeriumReserve
(VRM)";"1.12
USD"
"Bismuth
(BIS)";"0.943090
USD"
"Universal Currency
(UNIT)";"0.181829
USD"
"Social Send
(SEND)";"0.074793
USD"
"Litecoin
(LTC)";"76.56
USD"
"Skycoin
(SKY)";"6.87
USD"
"Pesetacoin
(PTC)";"0.021052
USD"
"Effect.AI
(EFX)";"0.024510
USD"
"Coinlancer
(CL)";"0.021792
USD"
"Education Ecosystem
(LEDU)";"0.009615
USD"
"Ardor
(ARDR)";"0.145708
USD"
"BitWhite
(BTW)";"0.027950
USD"
"Masari
(MSR)";"0.543697
USD"
"Amon
(AMN)";"0.005320
USD"
"SolarCoin
(SLR)";"0.151661
USD"
"CFun
(CFUN)";"0.009172
USD"
"Monoeci
(XMCC)";"0.169775
USD"
"REBL
(REBL)";"0.032056
USD"
"XTRABYTES
(XBY)";"0.028375
USD"
"Diamond
(DMD)";"3.12
USD"
"GET Protocol
(GET)";"0.427691
USD"
"Centrality
(CENNZ)";"0.100248
USD"
"Vsync
(VSX)";"0.007082
USD"
"NavCoin
(NAV)";"0.399040
USD"
"vSlice
(VSL)";"0.068129
USD"
"Uquid Coin
(UQC)";"0.814029
USD"
"Hubii Network
(HBT)";"0.283611
USD"
"Espers
(ESP)";"0.000139
USD"
"Nexo
(NEXO)";"0.091553
USD"
"Emercoin
(EMC)";"2.66
USD"

"42-coin
(42)";"17299.80
USD"
"Distributed Credit Chain
(DCC)";"0.026847
USD"
"LEOcoin
(LEO)";"0.139245
USD"
"ATMChain
(ATM)";"0.001306
USD"
"Wanchain
(WAN)";"1.98
USD"

"Bytom
(BTM)";"0.290325
USD"

USD"
"CryptoPing
(PING)";"0.132371
USD"
"VeChain
(VEN)";"1.89
USD"
"FirstBlood
(1ST)";"0.148253
USD"
"Voise
(VOISE)";"0.003369
USD"
"Primalbase Token
(PBT)";"2900.69
USD"
"ATN
(ATN)";"0.253794
USD"
"FedoraCoin
(TIPS)";"0.000010
USD"
"district0x
(DNT)";"0.033809
USD"
"TokenClub
(TCT)";"0.033004
USD"
"Medicalchain
(MTN)";"0.052981
USD"
"Bitcoin Atom
(BCA)";"0.427227
USD"
"Maker
(MKR)";"558.26
USD"
"PeepCoin
(PCN)";"0.000036
USD"
"2GIVE
(2GIVE)";"0.005109
USD"
"ETHLend
(LEND)";"0.024395
USD"
"BitSend
(BSD)";"0.329706
USD"
"FoldingCoin
(FLDC)";"0.007605
USD"
"Request Network
(REQ)";"0.064687
USD"
"Matchpool
(GUP)";"0.098157
USD"
"bitUSD
(BITUSD)";"1.04
USD"
"Oxycoin
(OXY)";"0.076804
USD"
"BitDegree
(BDG)";"0.012486
USD"
"GameCredits
(GAME)";"0.435223
USD"
"Divi
(DIVX)";"1.02
USD"
"ZCoin
(XZC)";"15.87
USD"
"Soarcoin
(SOAR)";"0.014274
USD"
"Ubiq
(UBQ)";"0.919581
USD"
"Ruff
(RUFF)";"0.044320
USD"
"Aphelion
(APH)";"0.152523
USD"
"FundRequest
(FND)";"0.044690
USD"
"Covesting
(COV)";"1.08
USD"
"Stellite
(XTL)";"0.000320
USD"
"Aston
(ATX)";"0.043259
USD"
"Bee Token
(BEE)";"0.019437
USD"

"Moeda Loyalty Points
(MDA)";"0.481880
USD"
"Bitcoin Interest
(BCI)";"1.82
USD"
"WePower
(WPR)";"0.037893
USD"
"Yocoin
(YOC)";"0.023055
USD"
"KickCoin
(KICK)";"0.060251
USD"
"Bankex
(BKX)";"0.183380
USD"
"Cofound.it
(CFI)";"0.032266
USD"
"BuzzCoin
(BUZZ)";"0.000121
USD"
"COPYTRACK
(CPY)";"0.083170
USD"
"Faceter
(FACE)";"0.010968
USD"
"ArtByte
(ABY)";"0.003570
USD"
"MyWish
(WISH)";"0.081017
USD"
"FlorinCoin
(FLO)";"0.037535
USD"

"Blockport
(BPT)";"0.129281
USD"
"Internxt
(INXT)";"6.31
USD"
"JET8
(J8T)";"0.007567
USD"
"Auctus
(AUC)";"0.125485
USD"
"PutinCoin
(PUT)";"0.002283
USD"
"ChainLink
(LINK)";"0.195701
USD"
"AICHAIN
(AIT)";"0.022029
USD"
"Stellar
(XLM)";"0.199409
USD"
"Bodhi
(BOT)";"0.218697
USD"
"Loopring
(LRC)";"0.253907
USD"
"Byteball Bytes
(GBYTE)";"121.61
USD"
"NKN
(NKN)";"0.168934
USD"
"PolySwarm
(NCT)";"0.003240
USD"
"Bean Cash
(BITB)";"0.003120
USD"
"Local World Forwarders
(LWF)";"0.031166
USD"
"LALA World
(LALA)";"0.019496
USD"
"QunQun
(QUN)";"0.013704
USD"
"Daneel
(DAN)";"0.032834
USD"
"GoldMint
(MNTP)";"0.379211
USD"
"Patron
(PAT)";"0.026782
USD"
"AI Doctor
(AIDOC)";"0.019509
USD"
"WAX
(WAX)";"0.114239
USD"
"GeoCoin
(GEO)";"0.711386
USD"
"UTRUST
(UTK)";"0.075742
USD"
"Bitcrystals
(BCY)";"0.179333
USD"
"Datum
(DAT)";"0.015648
USD"
"adToken
(ADT)";"0.013919
USD"
"Hshare
(HSR)";"4.71
USD"
"KuCoin Shares
(KCS)";"3.21
USD"
"onG.social
(ONG)";"0.038011
USD"
"Wagerr
(WGR)";"0.116662
USD"
"Sumokoin
(SUMO)";"1.24
USD"
"Hydro Protocol
(HOT)";"0.028819
USD"
"adbank
(ADB)";"0.007234
USD"
"Bezant
(BZNT)";"0.052540
USD"
"Dinastycoin
(DCY)";"0.000388
USD"
"BlackCoin
(BLK)";"0.125823
USD"
"Monetha
(MTH)";"0.036917
USD"
"Havven
(HAV)";"0.251157
USD"

USD"
"The ChampCoin
(TCC)";"0.042223
USD"
"PIVX
(PIVX)";"1.76
USD"
"TransferCoin
(TX)";"0.309938
USD"
"Etheroll
(DICE)";"1.05
USD"
"Red Pulse
(RPX)";"0.032800
USD"
"Block Array
(ARY)";"0.038491
USD"
"Sequence
(SEQ)";"0.102038
USD"
"OmiseGO
(OMG)";"6.76
USD"
"XMax
(XMX)";"0.002105
USD"
"CoinPoker
(CHP)";"0.026154
USD"
"Lamden
(TAU)";"0.059174
USD"
"Mintcoin
(MINT)";"0.000173
USD"
"NoLimitCoin
(NLC2)";"0.034567
USD"
"Genesis Vision
(GVT)";"7.46
USD"
"Dock
(DOCK)";"0.039647
USD"
"Gems
(GEM)";"0.005541
USD"
"Denarius
(DNR)";"0.436168
USD"
"SONM
(SNM)";"0.112355
USD"
"BitRent
(RNTB)";"0.022529
USD"
"Myriad
(XMY)";"0.003437
USD"
"Asch
(XAS)";"0.402371
USD"
"TrustPlus
(TRUST)";"0.029546
USD"
"CommerceBlock
(CBT)";"0.018825
USD"
"Po.et
(POE)";"0.015374
USD"
"Pascal Coin
(PASC)";"0.434982
USD"
"0chain
(ZCN)";"0.436995
USD"
"ZClassic
(ZCL)";"7.60
USD"
"Primecoin
(XPM)";"1.23
USD"
"Wings
(WINGS)";"0.187318
USD"
"GoldCoin
(GLD)";"0.061049
USD"
"TrustNote
(TTT)";"0.044430
USD"
"PotCoin
(POT)";"0.047526
USD"
"Dashcoin
(DSH)";"0.086112
USD"
"Sether
(SETH)";"0.162953
USD"
"DraftCoin
(DFT)";"0.106872
USD"
"Xaurum
(XAUR)";"0.039755
USD"
"InsurePal
(IPL)";"0.027056
USD"
"HunterCoin
(HUC)";"0.046465
USD"
"Worldcore
(WRC)";"0.013359
USD"
"Travelflex
(TRF)";"0.050250
USD"
"Agrello
(DLT)";"0.077989
USD"
"Morpheus Labs
(MITX)";"0.019268
USD"
"Iungo
(ING)";"0.037903
USD"
"Breakout Stake
(BRX)";"0.333720
USD"
"Galactrum
(ORE)";"0.588395
USD"
"Game.com
(GTC)";"0.089558
USD"
"XYO Network
(XYO)";"0.001938
USD"
"Cardano
(ADA)";"0.134514
USD"
"Remme
(REM)";"0.011523
USD"
"OriginTrail
(TRAC)";"0.093674
USD"
"EXRNchain
(EXRN)";"0.000052
USD"
"Expanse
(EXP)";"0.766702
USD"
"Bob's Repair
(BOB)";"0.014168
USD"
"Energo
(TSL)";"0.008479
USD"
"ZrCoin
(ZRC)";"1.59
USD"
"NaPoleonX
(NPX)";"0.236022
USD"
"SmartCash
(SMART)";"0.073915
USD"
"MaxCoin
(MAX)";"0.061987
USD"
"Travala
(AVA)";"0.108740
USD"
"EZToken
(EZT)";"0.193766
USD"
"Earth Token
(EARTH)";"0.003483
USD"
"VeriCoin
(VRC)";"0.279092
USD"
"Jibrel Network
(JNT)";"0.145159
USD"
"Gas
(GAS)";"10.46
USD"
"Pirl
(PIRL)";"0.193232
USD"
"Nebula AI
(NBAI)";"0.005019
USD"
"DomRaider
(DRT)";"0.009282
USD"
"Datawallet
(DXT)";"0.021652
USD"
"ShipChain
(SHIP)";"0.027857
USD"
"Mooncoin
(MOON)";"0.000034
USD"
"Pundi X
(NPXS)";"0.003305
USD"
"CHIPS
(CHIPS)";"0.171824
USD"
"BriaCoin
(BRIA)";"0.869600
USD"
"Swarm
(SWM)";"0.245453
USD"
"Radium
(RADS)";"2.26
USD"
D"
"Guaranteed Ethurance Token Extra
(GETX)";"0.005677
USD"
"Xenon
(XNN)";"0.004179
USD"
"Ripio Credit Network
(RCN)";"0.041029
USD"
"Stealth
(XST)";"0.170257
USD"
"Hi Mutual Society
(HMC)";"0.016961
USD"
"Nuls
(NULS)";"2.46
USD"
"Capricoin
(CPC)";"1.02
USD"
"Crown
(CRW)";"0.380220
USD"
"Rock
(RKT)";"0.065905
USD"
"Anoncoin
(ANC)";"1.25
USD"
"InvestFeed
(IFT)";"0.024060
USD"
"Shift
(SHIFT)";"0.940920
USD"
"Alphacat
(ACAT)";"0.002998
USD"
"Spectrecoin
(XSPEC)";"0.220155
USD"
"OracleChain
(OCT)";"0.503764
USD"
"Omni
(OMNI)";"11.18
USD"
"Cube
(AUTO)";"0.005655
USD"
"Circuits of Value
(COVAL)";"0.003243
USD"
"Banyan Network
(BBN)";"0.024816
US"Silent Notary
(SNTR)";"0.000095
USD"
"Arcblock
(ABT)";"0.407358
USD"
"SureRemit
(RMT)";"0.018622
USD"
"Nimiq Exchange Token
(NET)";"0.388956
USD"
"SpreadCoin
(SPR)";"0.242847
USD"
"Presearch
(PRE)";"0.107269
USD"
"Genaro Network
(GNX)";"0.134628
USD"
"Zcash
(ZEC)";"176.13
USD"
"Peculium
(PCL)";"0.002948
USD"
"TE-FOOD
(TFD)";"0.027637
USD"
"Machinecoin
(MAC)";"0.037373
USD"
"ColossusXT
(COLX)";"0.000943
USD"
"Zap
(ZAP)";"0.047261
USD"
"GCN Coin
(GCN)";"0.000007
USD"
"ICOS
(ICOS)";"9.59
USD"
"Utrum
(OOT)";"0.057420
USD"
"CanYaCoin
(CAN)";"0.093603
USD"
"Pandacoin
(PND)";"0.000121
USD"
"The Abyss
(ABYSS)";"0.031865
USD"
"Tokes
(TKS)";"0.697966
USD"
"Viuly
(VIU)";"0.002047
USD"
"CryptoCarbon
(CCRB)";"0.084494
USD"
"DAO.Casino
(BET)";"0.020374
USD"
"BunnyCoin
(BUN)";"0.000010
USD"
"Sentinel Chain
(SENC)";"0.019192
USD"
"SALT
(SALT)";"1.01
USD"
"Bulwark
(BWK)";"0.803445
USD"
"CVCoin
(CVCOIN)";"0.677013
USD"
"NeosCoin
(NEOS)";"1.60
USD"
"Cappasity
(CAPP)";"0.012335
USD"
"MktCoin
(MLM)";"0.003059
USD"
"TrueFlip
(TFL)";"0.607174
USD"
"Switcheo
(SWTH)";"0.015281
USD"
"1World
(1WO)";"0.164332
USD"
"APR Coin
(APR)";"0.728852
USD"
"Zippie
(ZIPT)";"0.015988
USD"
"Restart Energy MWAT
(MWAT)";"0.020461
USD"
"Payfair
(PFR)";"0.033036
USD"
"Auroracoin
(AUR)";"0.368747
USD"
"OP Coin
(OPC)";"0.000375
USD"
"WeAreSatoshi
(WSX)";"0.045066
USD"
"Bezop
(BEZ)";"0.088868
USD"
"Friendz
(FDZ)";"0.011414
USD"
"Databits
(DTB)";"0.365330
USD"
"Sprouts
(SPRTS)";"3.6e-07
USD"
"AidCoin
(AID)";"0.104184
USD"
"MUSE
(MUSE)";"0.364555
USD"
"Vice Industry Token
(VIT)";"0.010759
USD"
"Kore
(KORE)";"1.36
USD"
USD"
"Blocktix
(TIX)";"0.196363
USD"
1375
USD"
"Indorse Token
(IND)";"0.063256
USD"
"BitConnect
(BCC)";"0.368059
USD"
"Publica
(PBL)";"0.118690
USD"
"SwissBorg
(CHSB)";"0.012053
USD"
"Terracoin
(TRC)";"0.088107
USD"
"Bullion
(CBX)";"2.04
USD"
"HOQU
(HQX)";"0.017275
USD"
"StrongHands
(SHND)";"3.9e-07
USD"
"Debitum
(DEB)";"0.023837
USD"
"MonetaryUnit
(MUE)";"0.061156
USD"
"Graft
(GRFT)";"0.014711
USD"
"Aditus
(ADI)";"0.007761
USD"
"PikcioChain
(PKC)";"0.148661
USD"
"ATLANT
(ATL)";"0.053590
USD"
"HEROcoin
(PLAY)";"0.013856
USD"
"OBITS
(OBITS)";"0.206007
USD"
"Darcrus
(DAR)";"0.100174
USD"
"Tether
(USDT)";"1.00
USD"
"Curecoin
(CURE)";"0.202205
USD"
"EnergiToken
(ETK)";"0.004825
USD"
"Magi
(XMG)";"0.115562
USD"
"AirToken
(AIR)";"0.004078
USD"
"DMarket
(DMT)";"0.147173
USD"
"AMLT
(AMLT)";"0.017855
USD"
"Dimecoin
(DIME)";"0.000013
USD"
"Forty Seven Bank
(FSBT)";"0.383110
USD"
"Patientory
(PTOY)";"0.058041
USD"
"IDEX Membership
(IDXM)";"2162.27
USD"
"FidentiaX
(FDX)";"0.023854
USD"
"Sugar Exchange
(SGR)";"0.062407
USD"
"Hat.Exchange
(HAT)";"0.717533
USD"
"MicroMoney
(AMM)";"0.098378
USD"
"TrezarCoin
(TZC)";"0.008293
USD"
"SnowGem
(XSG)";"0.173977
USD"
"Stipend
(SPD)";"0.387006
USD"
"StarterCoin
(STAC)";"0.003745
USD"
"VIVO
(VIVO)";"0.268431
USD"
"RED
(RED)";"0.038353
USD"
"ClearPoll
(POLL)";"0.561115
USD"
"Qtum
(QTUM)";"7.55
USD"
"ExclusiveCoin
(EXCL)";"0.396316
USD"
